Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10
TB	B	B	TB	B	B	TB	TB	B	B
TB	TB	B	TB	B	B	TB	TB	TB	B
B	B	B	TB	B	TM	B	TB	TM	B
M	B	B	M	M	B	B	TB	B	B
M	M	TM	M	TM	B	B	B	M	TM
B	B	M	M	B	B	M	B	B	B
B	TB	M	B	B	B	B	TB	B	M
B	TB	M	M	M	TM	B	TB	TB	B
B	B	M	B	B	B	TB	M	TM	TM
B	M	M	TM	M	B	B	B	B	B
B	B	B	TM	TM	TM	M	M	TM	M
TB	TB	TB	TB	B	M	TB	TB	TB	TB
TB	TB	M	B	TB	TB	TB	TB	B	B
B	B	B	B	B	M	B	TB	TB	B
M	B	B	B	B	TB	TB	TB	B	B
B	B	B	B	B	B	B	B	B	B
TB	TB	B	B	B	B	B	B	B	B
B	M	B	B	B	B	B	B	B	B
B	M	TB	TB	M	M	TB	M	B	B
TB	TB	B	TB	TB	TB	TB	TB	TB	TB
TB	TB	B	TB	TB	TB	TB	TB	TB	TB
TB	B	TB	TB	B	B	TB	TB	TB	TB
TB	B	TB	TB	TB	TB	TB	TB	TB	TB
TB	TB	B	B	B	B	TB	TB	B	B
B	B	M	B	B	B	B	B	B	B
TB	TB	B	TB	TB	TB	TB	TB	B	TB
B	TB	B	B	B	B	TB	TB	TB	B
TB	B	B	B	B	B	B	B	B	B
B	B	B	M	M	B	B	B	B	B
B	B	M	M	M	B	M	B	B	M
B	TB	M	TB	B	B	TB	TB	B	M
TB	B	B	M	B	TB	TB	B	B	B
B	TB	M	M	TB	TB	B	TB	B	B
B	B	B	M	M	TM	M	B	M	M
TB	TB	TB	TB	TB	B	TB	TB	TB	TB
B	M	M	M	M	TM	B	B	TM	B
TB	TB	B	TB	TB	TB	TB	TB	TB	TB
TB	TB	TB	B	B	TB	TB	B	TB	TB
TB	TB	B	B	M	M	TB	TB	TB	B
B	B	B	B	M	B	B	TB	B	M
TB	B	TB	B	B	B	TB	B	B	B
B	TB	TB	TB	B	TB	TB	M	TB	TB
B	B	M	B	M	M	B	B	TB	M
TB	TB	B	B	M	B	TB	TB	B	B
